eventIdx,clusterIdx,avgWire,superlayer,trkIds
1,1,67.8571,5,-1
1,2,64.0000,6,-1
2,1,45.3333,2,-1
2,2,48.0000,2,-1
2,3,18.6667,3,-1
2,4,18.0000,4,-1
2,5,44.0000,4,-1
2,6,28.0000,5,-1
2,7,65.5000,5,-1
2,8,27.0000,6,-1
2,9,69.0000,6,-1
3,1,42.0000,1,-1
3,2,45.3333,2,-1
4,1,32.8000,1,-1
4,2,29.7143,2,-1
4,3,34.6667,3,-1
4,4,70.6667,3,-1
4,5,33.0000,4,-1
4,6,73.0000,4,-1
4,7,49.4286,5,-1
4,8,30.3333,6,-1
4,9,47.1667,6,-1
5,1,34.8333,1,1
5,2,33.1667,2,1
5,3,36.5000,3,1
5,4,36.5000,4,1
5,5,49.1667,5,1
5,6,48.6667,6,1
6,1,25.8333,3,-1
6,2,28.6667,4,-1
6,3,46.6667,5,-1
6,4,48.6667,6,-1
7,1,100.3333,5,-1
8,1,31.5000,1,-1
8,2,30.4000,2,-1
8,3,33.0000,3,-1
8,4,32.8333,4,-1
8,5,37.5000,4,-1
8,6,42.7143,5,-1
8,7,42.6667,6,-1
9,1,61.1667,1,1
9,2,62.0000,2,1
9,3,52.8000,3,1
9,4,51.3333,4,1
9,5,35.0000,5,1
9,6,33.0000,6,1
10,1,55.0000,1,1
10,2,54.5000,2,1
10,3,64.2000,2,-1
10,4,54.3333,3,1
10,5,54.0000,4,1
10,6,58.2000,5,1
10,7,57.8333,6,1
11,1,64.8333,5,-1
11,2,69.3333,6,-1
12,1,13.1250,1,-1
12,2,14.2222,2,-1
12,3,15.0000,3,-1
12,4,18.0000,3,-1
12,5,21.3333,4,-1
12,6,20.2000,4,-1
12,7,38.8000,5,-1
12,8,36.0000,5,-1
12,9,41.2222,6,-1
13,1,47.4000,1,-1
13,2,45.1667,1,1
13,3,45.6667,2,1
13,4,43.6667,3,1
13,5,44.0000,4,1
13,6,44.2000,5,1
13,7,44.5000,6,1
14,1,54.0000,1,-1
14,2,54.2000,2,-1
14,3,54.6000,3,-1
14,4,56.0000,4,-1
14,5,64.8571,5,-1
14,6,66.3333,6,-1
15,1,41.7500,1,-1
15,2,43.5000,2,-1
15,3,42.0000,3,-1
15,4,44.5000,4,-1
15,5,49.3333,5,-1
15,6,51.6667,6,-1
16,1,35.2857,3,-1
16,2,32.5000,4,-1
16,3,43.0000,5,-1
16,4,39.6000,6,-1
17,1,61.6000,1,-1
17,2,64.7500,2,-1
17,3,60.5000,3,-1
17,4,64.3333,4,-1
17,5,64.3333,5,-1
17,6,68.4286,6,-1
18,1,14.6000,1,-1
18,2,15.0000,2,-1
18,3,18.5714,3,-1
18,4,20.0000,4,-1
18,5,19.0000,5,-1
18,6,30.5000,5,-1
18,7,31.5000,6,-1
19,1,31.8000,5,-1
19,2,28.0000,6,-1
20,1,20.4000,1,1
20,2,20.4286,2,1
20,3,17.8750,3,1
20,4,16.5714,4,1
20,5,12.5714,5,1
20,6,11.1667,6,1
21,1,42.3333,1,1
21,2,44.2000,2,1
21,3,43.1667,3,1
21,4,46.2857,4,1
21,5,52.6667,5,1
21,6,49.5000,6,-1
21,7,56.0000,6,1
22,1,30.3333,1,-1
22,2,33.7500,1,-1
22,3,24.2000,5,-1
22,4,20.3333,6,-1
23,1,36.2000,1,-1
23,2,34.3000,3,-1
23,3,30.9091,3,-1
23,4,36.0000,4,-1
23,5,58.5000,5,-1
23,6,59.8000,6,-1
24,1,55.4286,1,-1
24,2,56.6667,2,-1
24,3,55.2857,3,-1
24,4,57.1667,4,-1
24,5,62.0000,5,-1
24,6,59.5000,5,-1
24,7,64.3333,6,-1
24,8,61.5000,6,-1
25,1,45.0000,1,1
25,2,40.3333,2,-1
25,3,49.3333,2,1
25,4,32.5000,3,-1
25,5,44.0000,3,1
25,6,34.2500,4,-1
25,7,48.8333,4,1
25,8,48.4000,5,1
25,9,53.6667,6,1
26,1,35.6667,1,-1
26,2,38.0000,2,-1
26,3,29.6667,3,-1
26,4,12.2000,5,-1
27,1,44.0000,1,1
27,2,41.8333,2,1
27,3,39.0000,3,1
27,4,35.3333,4,1
27,5,27.0000,5,1
27,6,24.0000,6,1
28,1,36.2500,1,-1
28,2,69.0000,1,1
28,3,65.5000,2,1
28,4,61.7143,3,1
28,5,34.0000,4,-1
28,6,56.5556,4,1
28,7,45.6000,5,1
28,8,50.0000,5,-1
28,9,68.5000,5,-1
28,10,41.4286,6,1
28,11,45.2500,6,-1
28,12,74.5000,6,-1
28,13,71.2500,6,-1
29,1,93.0000,5,-1
30,1,49.1429,1,1
30,2,51.6667,2,1
30,3,49.5714,3,1
30,4,53.1667,4,1
30,5,58.8333,5,1
30,6,62.8333,6,1
31,1,75.5000,1,-1
31,2,73.2000,2,-1
31,3,69.1667,3,-1
31,4,62.8333,4,-1
31,5,55.5000,5,-1
31,6,49.8333,6,-1
32,1,22.7143,1,-1
32,2,33.7143,1,-1
32,3,39.3333,1,-1
32,4,28.0000,2,-1
32,5,31.5714,2,-1
32,6,41.8333,2,-1
32,7,29.3333,3,-1
32,8,35.0000,3,-1
32,9,35.2857,4,-1
32,10,33.8000,4,-1
32,11,24.1667,5,-1
32,12,58.1429,5,-1
32,13,23.8000,6,-1
32,14,63.6000,6,-1
33,1,8.7500,1,-1
33,2,9.0000,2,-1
33,3,11.2500,3,-1
33,4,12.6000,4,-1
33,5,10.6000,4,-1
33,6,23.0000,5,-1
33,7,23.8571,6,-1
34,1,21.1667,1,-1
34,2,22.1667,2,-1
34,3,28.0000,3,-1
34,4,30.4000,4,-1
34,5,42.6667,5,-1
34,6,45.0000,6,-1
35,1,20.5000,1,1
35,2,19.4444,2,1
35,3,21.0000,3,1
35,4,20.1667,4,1
35,5,27.5000,5,1
35,6,26.2000,6,1
36,1,90.0000,1,-1
36,2,16.0000,2,-1
36,3,14.5714,2,-1
36,4,80.4444,4,-1
36,5,88.6667,5,-1
37,1,64.8571,1,1
37,2,65.4286,2,1
37,3,63.1667,3,1
37,4,63.8333,4,1
37,5,65.6667,5,1
37,6,66.5000,6,1
38,1,27.4000,4,-1
39,1,35.1667,1,-1
39,2,41.3333,1,-1
39,3,47.1429,1,-1
39,4,36.4286,2,-1
39,5,47.1111,2,-1
39,6,41.0000,3,-1
39,7,47.5000,4,-1
40,1,27.0000,1,-1
40,2,28.1667,2,-1
40,3,27.7143,3,-1
40,4,29.3333,4,-1
40,5,35.0000,5,-1
40,6,36.6000,6,-1
41,1,21.5000,1,1
41,2,20.8000,2,1
41,3,65.0000,2,-1
41,4,20.2000,3,-1
41,5,25.5000,3,1
41,6,67.5714,3,-1
41,7,26.6667,4,1
41,8,65.3333,4,-1
41,9,43.0000,5,1
41,10,76.5714,5,-1
41,11,43.8333,6,1
41,12,74.1667,6,-1
42,1,11.6667,1,-1
42,2,11.1429,2,-1
42,3,33.4000,2,-1
42,4,19.0000,3,-1
42,5,16.2857,3,-1
43,1,83.6000,1,-1
43,2,80.2000,2,-1
43,3,75.0000,3,-1
43,4,70.2857,4,-1
43,5,59.8333,5,-1
43,6,55.5000,6,-1
44,1,19.4000,1,-1
44,2,20.2857,2,-1
44,3,25.3333,3,-1
44,4,28.1667,4,-1
44,5,41.5000,5,-1
44,6,44.0000,6,-1
45,1,43.7143,1,1
45,2,43.2857,2,1
45,3,46.7500,3,1
45,4,49.0000,4,1
45,5,66.8889,5,1
45,6,69.5000,6,1
46,1,13.6667,1,-1
46,2,46.3333,1,-1
46,3,14.5000,2,-1
46,4,46.8333,2,-1
46,5,10.4000,3,-1
46,6,18.5000,3,-1
46,7,50.3333,3,-1
46,8,15.5714,4,-1
46,9,52.8750,4,-1
46,10,67.4286,5,-1
46,11,70.2000,6,-1
47,1,74.0000,1,1
47,2,67.0000,2,1
47,3,70.6000,3,1
47,4,63.8571,4,1
47,5,47.5000,5,-1
47,6,72.8571,5,1
47,7,66.2000,6,1
48,1,32.5000,1,-1
48,2,32.1667,2,-1
48,3,35.5000,3,-1
48,4,36.6667,4,-1
48,5,50.8333,5,-1
48,6,52.0000,6,-1
49,1,24.1667,1,-1
49,2,21.6667,2,-1
49,3,27.0000,3,-1
49,4,26.5000,4,-1
49,5,44.0000,5,-1
49,6,42.5000,6,-1
50,1,41.7500,5,-1
50,2,47.8000,6,-1
51,1,23.6000,2,-1
51,2,26.1667,3,-1
51,3,12.0000,5,-1
51,4,10.0000,6,-1
52,1,20.6000,1,-1
52,2,18.5000,2,-1
52,3,25.6000,3,-1
52,4,26.0000,4,-1
52,5,39.1667,6,-1
53,1,39.4286,1,1
53,2,38.3333,2,1
53,3,41.5000,3,1
53,4,41.6667,4,1
53,5,54.0000,5,1
53,6,54.0000,6,1
54,1,25.5714,1,-1
54,2,28.0000,2,-1
54,3,26.4000,2,-1
54,4,29.4000,3,-1
54,5,36.1667,4,-1
54,6,57.0909,5,-1
54,7,65.6667,6,-1
55,1,50.2000,1,-1
55,2,50.4000,2,-1
55,3,51.0000,3,-1
55,4,52.1667,4,-1
55,5,61.1429,5,-1
55,6,62.6000,6,-1
56,1,35.6667,3,-1
56,2,37.4000,4,-1
56,3,64.8571,5,-1
56,4,65.5000,6,-1
57,1,92.6667,1,-1
57,2,86.7143,2,-1
57,3,86.3333,3,-1
57,4,79.5000,4,-1
57,5,64.0000,5,-1
57,6,75.4286,5,-1
57,7,68.0000,6,-1
57,8,70.0000,6,-1
58,1,28.0000,2,-1
58,2,25.0000,3,-1
58,3,23.1250,4,-1
58,4,89.6667,5,-1
59,1,63.0000,1,1
59,2,56.6667,2,1
59,3,53.8571,3,1
59,4,45.3333,4,1
59,5,25.5000,5,1
59,6,19.7143,6,1
